,date,account_value
0,2017-01-03,1000000.0
1,2017-01-04,1000000.0
2,2017-01-05,999940.9489420966
3,2017-01-06,1000075.496739639
4,2017-01-09,999879.4290810084
5,2017-01-10,999867.3752077632
6,2017-01-11,1000279.7111452632
7,2017-01-12,1000011.735713428
8,2017-01-13,1000009.4462827255
9,2017-01-17,998942.8533431314
10,2017-01-18,998948.5933142924
11,2017-01-19,998428.4758338844
12,2017-01-20,998676.952442077
13,2017-01-23,998356.7580223
14,2017-01-24,998906.0507166628
15,2017-01-25,1000738.3937685732
16,2017-01-26,1001289.3464426644
17,2017-01-27,1000901.1584216646
18,2017-01-30,999308.5541627
19,2017-01-31,997356.6755156548
20,2017-02-01,997592.87132788
21,2017-02-02,997215.4083366692
22,2017-02-03,1000912.14841722
23,2017-02-06,1000693.9548642568
24,2017-02-07,1001262.0118546668
25,2017-02-08,1000787.8723282996
26,2017-02-09,1003126.9713907882
27,2017-02-10,1004766.2358296654
28,2017-02-13,1007511.0197271644
29,2017-02-14,1009531.5059619744
30,2017-02-15,1011176.811397155
31,2017-02-16,1011376.914573623
32,2017-02-17,1012697.520700641
33,2017-02-21,1014939.7756819983
34,2017-02-22,1015580.855538871
35,2017-02-23,1015320.7504453576
36,2017-02-24,1014102.8602295828
37,2017-02-27,1015515.2769272644
38,2017-02-28,1015119.5736624098
39,2017-03-01,1021765.432770381
40,2017-03-02,1018392.5249764016
41,2017-03-03,1018933.730688022
42,2017-03-06,1017729.7104725526
43,2017-03-07,1017293.5991842112
44,2017-03-08,1015874.00229853
45,2017-03-09,1015177.8843402704
46,2017-03-10,1014457.3003518136
47,2017-03-13,1014272.8801903032
48,2017-03-14,1013489.1146175492
49,2017-03-15,1014143.5943996536
50,2017-03-16,1014088.027978202
51,2017-03-17,1012635.069262168
52,2017-03-20,1012560.218102298
53,2017-03-21,1001990.2388450728
54,2017-03-22,1001866.0417701828
55,2017-03-23,1001922.3929400094
56,2017-03-24,998645.846181472
57,2017-03-27,995715.1093780854
58,2017-03-28,1001275.632373748
59,2017-03-29,1000162.822948394
60,2017-03-30,1004201.1607994492
61,2017-03-31,1002271.697636863
62,2017-04-03,1000685.806143012
63,2017-04-04,1002657.68211576
64,2017-04-05,1000941.6222784186
