,date,account_value
0,2020-01-08,1866966.0586364933
1,2020-01-09,1884573.619239063
2,2020-01-10,1878619.378130848
3,2020-01-13,1884777.4967069968
4,2020-01-14,1889459.1865535467
5,2020-01-15,1893575.542247364
6,2020-01-16,1902123.2807044792
7,2020-01-17,1904756.6538835904
8,2020-01-21,1893012.4760388331
9,2020-01-22,1894197.436274429
10,2020-01-23,1890440.3299316247
11,2020-01-24,1855268.707454292
12,2020-01-27,1840259.9880832136
13,2020-01-28,1857148.8816921003
14,2020-01-29,1862521.7357723007
15,2020-01-30,1877793.8849233051
16,2020-01-31,1827347.565891262
17,2020-02-03,1833233.5111496616
18,2020-02-04,1862720.905511204
19,2020-02-05,1900273.1953175697
20,2020-02-06,1900132.6573412744
21,2020-02-07,1885718.2839706156
22,2020-02-10,1882720.8984213064
23,2020-02-11,1880543.9845482216
24,2020-02-12,1883495.224576603
25,2020-02-13,1881677.289750828
26,2020-02-14,1884408.475891239
27,2020-02-18,1868371.8677879828
28,2020-02-19,1879652.0482841984
29,2020-02-20,1871628.268496601
30,2020-02-21,1866990.2002000576
31,2020-02-24,1815616.3603607712
32,2020-02-25,1766055.0705159835
33,2020-02-26,1773763.2946561507
34,2020-02-27,1684013.0743738022
35,2020-02-28,1682329.0705114284
36,2020-03-02,1682329.0705114284
37,2020-03-03,1682329.0705114284
38,2020-03-04,1682329.0705114284
39,2020-03-05,1682329.0705114284
40,2020-03-06,1682329.0705114284
41,2020-03-09,1682329.0705114284
42,2020-03-10,1682329.0705114284
43,2020-03-11,1682329.0705114284
44,2020-03-12,1682329.0705114284
45,2020-03-13,1682329.0705114284
46,2020-03-16,1682329.0705114284
47,2020-03-17,1682329.0705114284
48,2020-03-18,1682329.0705114284
49,2020-03-19,1682329.0705114284
50,2020-03-20,1682329.0705114284
51,2020-03-23,1682329.0705114284
52,2020-03-24,1682329.0705114284
53,2020-03-25,1682329.0705114284
54,2020-03-26,1682329.0705114284
55,2020-03-27,1682329.0705114284
56,2020-03-30,1682329.0705114284
57,2020-03-31,1682329.0705114284
58,2020-04-01,1682329.0705114284
59,2020-04-02,1682329.0705114284
60,2020-04-03,1682329.0705114284
61,2020-04-06,1682329.0705114284
62,2020-04-07,1682329.0705114284
63,2020-04-08,1682329.0705114284
64,2020-04-09,1684954.927172653
65,2020-04-13,1684828.56460704
66,2020-04-14,1684828.56460704
67,2020-04-15,1684828.56460704
68,2020-04-16,1684828.56460704
69,2020-04-17,1684828.56460704
70,2020-04-20,1684828.56460704
71,2020-04-21,1684828.56460704
72,2020-04-22,1684828.56460704
73,2020-04-23,1684828.56460704
74,2020-04-24,1684828.56460704
75,2020-04-27,1684828.56460704
76,2020-04-28,1684828.56460704
77,2020-04-29,1684828.56460704
78,2020-04-30,1684828.56460704
79,2020-05-01,1684828.56460704
80,2020-05-04,1684828.56460704
81,2020-05-05,1684828.56460704
82,2020-05-06,1684828.56460704
83,2020-05-07,1684828.56460704
84,2020-05-08,1684828.56460704
85,2020-05-11,1683844.333798019
86,2020-05-12,1677844.8461885373
87,2020-05-13,1677590.0549463192
88,2020-05-14,1677590.0549463192
89,2020-05-15,1677590.0549463192
90,2020-05-18,1677590.0549463192
91,2020-05-19,1674704.569270126
92,2020-05-20,1674574.6722757258
93,2020-05-21,1674141.589740554
94,2020-05-22,1673185.7389966885
95,2020-05-26,1683700.12878894
96,2020-05-27,1693816.811223022
97,2020-05-28,1686626.53207492
98,2020-05-29,1687524.7507390897
99,2020-06-01,1691359.6490854183
100,2020-06-02,1703766.0592126765
101,2020-06-03,1731779.4507074277
102,2020-06-04,1741149.529178039
103,2020-06-05,1784081.7787259973
104,2020-06-08,1824419.9044614711
105,2020-06-09,1794835.8296296992
106,2020-06-10,1769943.0508516228
107,2020-06-11,1623704.9498122097
108,2020-06-12,1622081.4627934715
109,2020-06-15,1622081.4627934715
110,2020-06-16,1622081.4627934715
111,2020-06-17,1622081.4627934715
112,2020-06-18,1622081.4627934715
113,2020-06-19,1622081.4627934715
114,2020-06-22,1622081.4627934715
115,2020-06-23,1622081.4627934715
116,2020-06-24,1622081.4627934715
117,2020-06-25,1622081.4627934715
118,2020-06-26,1622081.4627934715
119,2020-06-29,1622081.4627934715
120,2020-06-30,1622081.4627934715
121,2020-07-01,1622081.4627934715
122,2020-07-02,1622321.4709954525
123,2020-07-06,1628148.8789868616
124,2020-07-07,1619157.8916070247
125,2020-07-08,1623666.93816159
126,2020-07-09,1618029.3828484798
127,2020-07-10,1625978.7504285425
128,2020-07-13,1624167.7849946166
129,2020-07-14,1623738.4587420614
130,2020-07-15,1623738.4587420614
131,2020-07-16,1623721.177337635
132,2020-07-17,1623705.282630551
133,2020-07-20,1623797.8877017975
134,2020-07-21,1623803.0915539816
135,2020-07-22,1623990.7880871848
136,2020-07-23,1623541.0024508096
137,2020-07-24,1623034.0595491752
138,2020-07-27,1623121.8583327525
139,2020-07-28,1622674.780129898
140,2020-07-29,1622881.1000456696
141,2020-07-30,1622605.3176056554
142,2020-07-31,1622529.081327587
143,2020-08-03,1623460.135181171
144,2020-08-04,1623433.5605104931
145,2020-08-05,1624795.9208620558
146,2020-08-06,1625327.0995283308
147,2020-08-07,1625522.7756627416
148,2020-08-10,1625683.3946671209
149,2020-08-11,1625304.8789829584
150,2020-08-12,1626572.4451450678
151,2020-08-13,1626348.809807978
152,2020-08-14,1626381.246742682
153,2020-08-17,1626027.2915506735
154,2020-08-18,1626140.6794948685
155,2020-08-19,1625459.3320675
156,2020-08-20,1626280.8743372909
157,2020-08-21,1626208.2501264983
158,2020-08-24,1627765.385188964
159,2020-08-25,1628492.8238453742
160,2020-08-26,1629535.420433509
161,2020-08-27,1631305.8786693756
162,2020-08-28,1632580.5669679558
163,2020-08-31,1630596.779581634
164,2020-09-01,1631158.8327664558
165,2020-09-02,1634960.8941525642
166,2020-09-03,1628974.086886261
167,2020-09-04,1628786.5520001403
168,2020-09-08,1628786.5520001403
169,2020-09-09,1628786.5520001403
170,2020-09-10,1628681.846337156
171,2020-09-11,1628727.4789791086
172,2020-09-14,1628835.8600257412
173,2020-09-15,1628865.383760702
174,2020-09-16,1628876.0914480798
175,2020-09-17,1628771.5799568458
176,2020-09-18,1628477.829309339
177,2020-09-21,1627656.2074880651
178,2020-09-22,1628107.4800661404
179,2020-09-23,1627090.8516786892
180,2020-09-24,1627310.4341946691
181,2020-09-25,1627959.9660766236
182,2020-09-28,1628752.6052202834
183,2020-09-29,1628152.1260572546
184,2020-09-30,1628646.9015012854
185,2020-10-01,1628528.8600580404
186,2020-10-02,1627824.220674442
187,2020-10-05,1629265.3256241642
188,2020-10-06,1628127.999604717
189,2020-10-07,1629923.315705791
190,2020-10-08,1630800.7425865624
191,2020-10-09,1632182.178210838
192,2020-10-12,1633418.5510268204
193,2020-10-13,1632568.8166197732
194,2020-10-14,1631758.9131163552
195,2020-10-15,1632015.8393878816
196,2020-10-16,1632276.856586879
197,2020-10-19,1628864.8122676266
198,2020-10-20,1630335.7349957188
199,2020-10-21,1631049.7726849278
200,2020-10-22,1632746.6418853295
201,2020-10-23,1632318.7807320629
202,2020-10-26,1626282.9796417884
203,2020-10-27,1626001.497340408
204,2020-10-28,1626001.497340408
205,2020-10-29,1626001.497340408
206,2020-10-30,1626001.497340408
207,2020-11-02,1626001.497340408
208,2020-11-03,1626001.497340408
209,2020-11-04,1626001.497340408
210,2020-11-05,1626352.1142603797
211,2020-11-06,1626291.2457743492
212,2020-11-09,1628407.3362477378
213,2020-11-10,1628769.555010605
214,2020-11-11,1628458.508105087
215,2020-11-12,1627543.1848887326
216,2020-11-13,1629023.0300141866
217,2020-11-16,1631406.9187289353
218,2020-11-17,1630656.8139929806
219,2020-11-18,1629110.3865332638
220,2020-11-19,1629261.1175313604
221,2020-11-20,1628635.9262478254
222,2020-11-23,1630830.3637023503
223,2020-11-24,1634286.6596864928
224,2020-11-25,1634089.040088104
225,2020-11-27,1633302.115199272
226,2020-11-30,1631944.0812374533
227,2020-12-01,1634410.7399130897
228,2020-12-02,1636259.5630408362
229,2020-12-03,1637246.1565000303
230,2020-12-04,1640089.969643799
231,2020-12-07,1639967.1405822567
232,2020-12-08,1640792.8210921595
233,2020-12-09,1639092.6461615872
234,2020-12-10,1637636.4369543537
235,2020-12-11,1644267.980126476
236,2020-12-14,1639937.8827554814
237,2020-12-15,1647632.6966808198
238,2020-12-16,1645358.085261142
239,2020-12-17,1648645.0297781324
240,2020-12-18,1644221.1060354717
241,2020-12-21,1650122.5458033015
242,2020-12-22,1646534.3259041084
243,2020-12-23,1649077.2394706977
244,2020-12-24,1650178.3213407
245,2020-12-28,1656770.7438454228
246,2020-12-29,1654488.2247755562
247,2020-12-30,1657324.095670942
248,2020-12-31,1658583.2815197008
249,2021-01-04,1650741.208490488
250,2021-01-05,1652914.0384714147
251,2021-01-06,1658096.2741586706
