date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-01-08,100,0,0,25,100,-100,-100,0,0,100,0,-100,100,-100,0,100,100,0,-100,0,-100,0,100,0,0,0,0,-100,-100
2020-01-09,100,0,0,17,100,-100,-100,0,0,100,0,-100,100,-100,0,100,100,0,-86,0,-100,0,100,0,0,1,0,-100,-100
2020-01-10,100,0,0,0,61,-100,-26,0,0,100,0,-100,0,0,0,100,100,0,0,0,-100,0,100,0,0,0,0,-100,-100
2020-01-13,100,0,0,0,0,-100,0,0,0,100,0,-41,0,0,0,100,8,0,0,0,-100,0,100,0,0,0,0,-59,-100
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,100,0,0,0,0,-100,0,0,0,100,0,0,0,0,0,22,2,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-16,100,0,0,0,0,-100,0,0,0,100,0,0,0,0,0,22,1,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-17,100,0,0,0,0,-100,0,0,0,100,0,0,0,0,0,21,0,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,100,0,0,0,0,-100,0,0,0,100,0,0,0,0,0,24,0,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-23,100,0,0,0,0,-84,0,0,0,100,0,0,0,0,0,3,0,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-24,100,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-27,100,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,100,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,1,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-30,100,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-01-31,100,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,2,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-02-03,100,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,100,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-02-06,100,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-02-07,100,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,-100,0,100,0,0,0,0,0,-100
2020-02-10,100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,-52,0,100,0,0,0,0,0,-100
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
