,Iter,Val Start,Val End,Model Used,a2c_99 Sharpe,ppo_99 Sharpe,sac_99 Sharpe,td3_99 Sharpe,ddpg_99 Sharpe
0,126,2016-10-03,2017-01-03,a2c_99,5.6976002894326605,2.928824810763058,4.040966274175551,3.7942128125956147,4.511993836391535
1,189,2017-01-03,2017-04-04,ddpg_99,2.312104194879801,2.0249297082216904,0.9781494469553778,2.0916656298025216,3.5155179572818533
2,252,2017-04-04,2017-07-05,sac_99,2.9787168918857763,3.0740954925358968,4.09958856831095,3.3479842092281,3.5420149507131913
3,315,2017-07-05,2017-10-03,ddpg_85,5.721138410679242,5.790204861860692,5.052010949469518,5.303273966698052,5.135219506017043
4,378,2017-10-03,2018-01-03,ddpg_85,6.366919374113093,6.306608022011051,6.327795279476392,5.786622319229735,6.29082295853966
5,441,2018-01-03,2018-04-05,td3_85,-0.40797067373577856,-0.4346441893105184,-0.19450979410152208,-0.42625171996034683,0.03187917852426375
6,504,2018-04-05,2018-07-05,td3_99,0.3206791335279218,0.22936390575170784,0.4972699182579404,1.3905864718004461,1.275875477115757
7,567,2018-07-05,2018-10-03,ddpg_99,5.136594316765724,5.0800407391227,5.165002850554896,5.601922599047833,5.779597890433753
8,630,2018-10-03,2019-01-04,ddpg_85,-1.7504812861856627,-1.8030450570977066,-1.6765501369181637,-1.7950836387684928,-1.5225103542788552
9,693,2019-01-04,2019-04-05,sac_85,2.502349639626516,2.4568163081915646,2.674105952668232,3.077899585971445,3.4928533074956807
10,756,2019-04-05,2019-07-08,sac_85,2.0766302152845,2.1582043519237044,2.581354569617116,2.283064124982137,2.1350056994711317
11,819,2019-07-08,2019-10-04,sac_85,0.8483042664910875,0.8664335283453363,1.1773800375644858,1.276982739332403,0.8366480950948674
12,882,2019-10-04,2020-01-06,a2c_85,6.371168663764616,6.3474045547470315,6.292349057295233,6.003209890712533,6.466319753941003
13,945,2020-01-06,2020-04-06,ppo_99,-2.9581180111795398,-2.321986881628102,-3.036387005900115,-3.169318537574545,-2.3569506645528504
14,1008,2020-04-06,2020-07-07,ddpg_85,1.9254943392907145,2.3514119496376673,2.8522414158727583,2.3688479815792136,2.254592274165
15,1069,2020-07-02,2020-10-01,td3_99,2.31321098515618,2.2226839045317295,2.500221416557011,3.4961642950855136,2.78218631950595
